uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy,publicationDate,release
a2baa981-e84d-4df2-b236-e9de5a4f6e35,ABBY_022.basePlot.brd,D16,ABBY,ABBY_022,distributed,21,grasslandHerbaceous,45.755543,-122.320415,WGS84,20.1,386.6,0.1,2017-05-26T12:50Z,,,ABBY_022.21.2017-05-26T05:50-07:00[US/Pacific],0,0,95,95,shrubland,8,1,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
22338679-b9b1-43e0-81f8-aadccca6a66c,ABBY_016.basePlot.brd,D16,ABBY,ABBY_016,distributed,21,evergreenForest,45.746995,-122.332415,WGS84,20.1,379.8,0.2,2017-05-26T13:21Z,,,ABBY_016.21.2017-05-26T06:21-07:00[US/Pacific],0,0,92,86,evergreen forest,10,0,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
2490d0ca-af9c-4c21-a2a5-7908ebd0865a,ABBY_014.basePlot.brd,D16,ABBY,ABBY_014,distributed,21,evergreenForest,45.751186,-122.317373,WGS84,20.4,466,0.4,2017-05-26T13:51Z,,,ABBY_014.21.2017-05-26T06:51-07:00[US/Pacific],0,0,88,85,evergreen forest,13,0,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
ef0fc01e-886c-4272-b757-86134c33edc9,ABBY_021.basePlot.brd,D16,ABBY,ABBY_021,distributed,21,grasslandHerbaceous,45.743931,-122.317095,WGS84,20.1,500.6,0.1,2017-05-26T14:15Z,,,ABBY_021.21.2017-05-26T07:15-07:00[US/Pacific],0,0,,85,shrubland,13,0,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
83d772ca-58f3-4b55-b5e3-7dd5238ea972,ABBY_002.basePlot.brd,D16,ABBY,ABBY_002,distributed,21,grasslandHerbaceous,45.739055,-122.309112,WGS84,20.1,638.4,0.1,2017-05-26T14:35Z,,,ABBY_002.21.2017-05-26T07:35-07:00[US/Pacific],,,,,shrubland,14,0,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
44b099ee-b227-4f50-ba43-07810fb03d4f,ABBY_015.basePlot.brd,D16,ABBY,ABBY_015,distributed,21,shrubScrub,45.732278,-122.300351,WGS84,20.1,702.7,0.1,2017-05-26T14:53Z,,,ABBY_015.21.2017-05-26T07:53-07:00[US/Pacific],,,,,shrubland,18,2,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
939b83c3-55bd-4179-aa3b-736a45b86776,ABBY_027.basePlot.brd,D16,ABBY,ABBY_027,distributed,21,shrubScrub,45.777441,-122.297091,WGS84,20.1,639,0.1,2017-05-26T15:45Z,,,ABBY_027.21.2017-05-26T08:45-07:00[US/Pacific],0,0,70,,shrubland,18,0,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
9c434fb7-61da-4a51-8a58-6c2cabda0d2f,ABBY_004.basePlot.brd,D16,ABBY,ABBY_004,distributed,21,shrubScrub,45.76858,-122.298736,WGS84,20.1,586.1,0.1,2017-05-26T16:06Z,,,ABBY_004.21.2017-05-26T09:06-07:00[US/Pacific],0,0,70,,shrubland,13,1,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
b02711dc-f813-490f-8fe7-d75def21cd33,ABBY_009.basePlot.brd,D16,ABBY,ABBY_009,distributed,21,shrubScrub,45.76561,-122.299532,WGS84,20.1,538.6,0.1,2017-05-26T16:23Z,,,ABBY_009.21.2017-05-26T09:23-07:00[US/Pacific],0,0,85,72,shrubland,20,1,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
4b7e3a3a-950b-431a-9de0-3891c6fd7092,ABBY_029.basePlot.brd,D16,ABBY,ABBY_029,distributed,21,mixedForest,45.764075,-122.313736,WGS84,20.3,359.9,0.3,2017-05-26T16:58Z,,,ABBY_029.21.2017-05-26T09:58-07:00[US/Pacific],0,0,84,72,riparian,19,1,Bird Conservancy of the Rockies,NEON.DOC.014041vH,,JDEST,20201223T142005Z,undetermined
