uid,laboratoryName,date,siteID,technicianID,observerInstitutionName,evaluationMethod,evaluationScore,publicationDate
070a22f4-708c-4d94-a3d3-dc568b4b9535,Bird Conservancy of the Rockies,2020-07-22,,AMARI,Bird Conservancy of the Rockies,startSeasonBirdQuiz,96,20201223T142041Z
d92f3f4b-915c-4f27-a85f-28d48c0a7201,Bird Conservancy of the Rockies,2020-07-22,,AMARI,Bird Conservancy of the Rockies,protocolQuiz,91,20201223T142041Z
ae287fc7-c114-4655-95c1-fc4f8dfa8d66,Bird Conservancy of the Rockies,2020-07-21,,DTONN,Bird Conservancy of the Rockies,startSeasonBirdQuiz,100,20201223T142041Z
2779024a-d8f8-4798-a9a9-b399a3c63a37,Bird Conservancy of the Rockies,2020-07-21,,DTONN,Bird Conservancy of the Rockies,protocolQuiz,95,20201223T142041Z
9c0b743c-a2a7-412d-96a5-d1a161e94636,Bird Conservancy of the Rockies,2020-07-16,,DSAND,Bird Conservancy of the Rockies,startSeasonBirdQuiz,92,20201223T142041Z
00426f94-7256-496b-b786-d987daf80c5d,Bird Conservancy of the Rockies,2020-07-16,,DSAND,Bird Conservancy of the Rockies,protocolQuiz,95,20201223T142041Z
797e4f5c-b35b-4863-98b9-f0934b256c6d,Bird Conservancy of the Rockies,2020-07-13,,JDIAZ,Unaffiliated,protocolQuiz,96,20201223T142041Z
eeefaa13-c56e-4fd1-8be7-7db9e6b53028,Bird Conservancy of the Rockies,2020-07-13,,JDIAZ,Unaffiliated,startSeasonBirdQuiz,96,20201223T142041Z
5d44ab77-83cc-4446-84b4-9f365e751077,Bird Conservancy of the Rockies,2020-07-03,,GPLAZ,Unaffiliated,startSeasonBirdQuiz,90,20201223T142041Z
7fc15214-d373-48a5-a6c3-05026707f492,Bird Conservancy of the Rockies,2020-07-03,,GPLAZ,Unaffiliated,protocolQuiz,96,20201223T142041Z
5e78fabe-1736-46a9-aa8d-b52b98d77796,Bird Conservancy of the Rockies,2020-07-02,,DTONN,Bird Conservancy of the Rockies,startSeasonBirdQuiz,96,20201223T142041Z
0da1b7cd-e558-4f07-a89d-96f9d6c66bab,Bird Conservancy of the Rockies,2020-07-02,,DTONN,Bird Conservancy of the Rockies,protocolQuiz,95,20201223T142041Z
