uid,date,siteID,identificationReferences,remarks,publicationDate,release
171dd474-eff9-4e56-9389-6641daf8f85e,2017-05-25,ABBY,Sibley Guides. 2017. The Sibley eGuide to Birds App [Mobile application software]. Retrieved from http://www.sibleyguides.com/about/the-sibley-eguide-to-birds-app/.,,20201223T142038Z,undetermined
84a1741f-4015-41e6-b269-1bd2f8818a32,2018-06-19,ABBY,"Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",,20201223T142038Z,undetermined
ce67daa9-f09b-436d-a614-611381ec0b23,2019-05-09,ABBY,"Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",,20201223T142038Z,undetermined
15fb6a80-6668-4274-aca6-941af9add199,2018-06-16,WREF,"Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",,20201223T141950Z,undetermined
6e97b8bf-df44-4bb4-a33d-ed1ac51e72c2,2019-05-09,WREF,"Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",,20201223T141950Z,undetermined
fefdb21e-e2b3-4baf-a714-09349ca3cfb4,2017-07-11,SJER,"Sibley, D.A. 2014. The Sibley Guide to Birds. Second Edition. Alfred A. Knopf, New York.",,20201223T141729Z,undetermined
755284ff-6111-4bad-927e-7a6d98e8426b,2017-07-13,SJER,"Dunn, J.L. and Alderfer, J. 2011. National Geographic Field Guide to the Birds of North America. Sixth Edition. National Geographic Society, Washington, D.C.",,20201223T141729Z,undetermined
a3f13806-0dca-4f64-8bf4-e3daa8503a99,2018-04-17,SJER,Mitch Waite Group. 2008. iBird Pro. Computer Software. Version 7.6.825. Mitch Waite Group.,,20201223T141729Z,undetermined
53444cbf-b74d-4472-88fc-e81fabaaf9a2,2019-04-14,SJER,"Sibley, D. A. 2000. The Sibley Guide to Birds. Alfred A. Knopf, New York.",,20201223T141729Z,undetermined
80b75595-71f1-47c7-abf2-5c8d695ccfcd,2017-07-12,SOAP,"Sibley, D.A. 2014. The Sibley Guide to Birds. Second Edition. Alfred A. Knopf, New York.",,20201223T142021Z,undetermined
cc9815f9-67ae-48ff-a273-bbf574ad1e5a,2017-07-13,SOAP,"Dunn, J.L. and Alderfer, J. 2011. National Geographic Field Guide to the Birds of North America. Sixth Edition. National Geographic Society, Washington, D.C.",,20201223T142021Z,undetermined
2ef0c534-a9e2-4bd4-a3d1-787d9b788745,2018-05-15,SOAP,"Sibley, D. A. 2000. The Sibley Guide to Birds. Alfred A. Knopf, New York.;Mitch Waite Group. 2008. iBird Pro. Computer Software. Version 7.6.825. Mitch Waite Group.",,20201223T142021Z,undetermined
8d2e355d-bae2-4052-8957-e9a1e81230f8,2019-04-14,SOAP,"Sibley, D. A. 2000. The Sibley Guide to Birds. Alfred A. Knopf, New York.",,20201223T142021Z,undetermined
e266ecd6-9c37-423d-9516-9ba2bc105a0c,2017-07-12,TEAK,"Dunn, J.L. and Alderfer, J. 2011. National Geographic Field Guide to the Birds of North America. Sixth Edition. National Geographic Society, Washington, D.C.",,20201223T141810Z,undetermined
f9bf253f-0222-466b-b1f5-2a7169436c40,2017-07-12,TEAK,"Sibley, D.A. 2014. The Sibley Guide to Birds. Second Edition. Alfred A. Knopf, New York.",,20201223T141810Z,undetermined
