name,pubCode,description,startDate,endDate
"fsh.actualOrEstimated","actual","actual",2012-01-01T00:00:00Z,
"fsh.actualOrEstimated","estimated","estimated",2012-01-01T00:00:00Z,
"sim.biomassRemoval","0%","0% biomass removal",2012-01-01T00:00:00Z,
"sim.biomassRemoval","25%","1-25% biomass removal",2012-01-01T00:00:00Z,
"sim.biomassRemoval","50%","26-50% biomass removal",2012-01-01T00:00:00Z,
"sim.biomassRemoval","75%","51-75% biomass removal",2012-01-01T00:00:00Z,
"sim.biomassRemoval","100%","76-100% biomass removal",2012-01-01T00:00:00Z,
"sim.biomassRemoval","Y","yes",2012-01-01T00:00:00Z,
"sim.biomassRemoval","N","no",2012-01-01T00:00:00Z,
"sim.biomassRemoval","U","unknown",2012-01-01T00:00:00Z,
"sim.eventType","animalReduction","physical removal of animals ",2012-01-01T00:00:00Z,
"sim.eventType","biocontrol","intentional human introduction of organisms for biocontrol",2012-01-01T00:00:00Z,
"sim.eventType","chemicalApplication","intentional introduction of chemicals to a plot or stream reach ",2012-01-01T00:00:00Z,
"sim.eventType","droughtPerceived","landscape-scale drought conditions reported in the region containing the site and causing marked impacts on data quality ",2012-01-01T00:00:00Z,
"sim.eventType","fire","prescribed fire or unplanned wildfire ",2012-01-01T00:00:00Z,
"sim.eventType","grazing","intentional human introduction of animals to NEON sites or sampling locations as livestock or to control vegetation ",2012-01-01T00:00:00Z,
"sim.eventType","humanDisturbance","category for damage to sampling areas due to all remaining human-caused disturbance events not included in other event types ",2012-01-01T00:00:00Z,
"sim.eventType","irrigation","intentional irrigation or draining of NEON sampling area",2012-01-01T00:00:00Z,
"sim.eventType","obstruction","detritus left in plot or stream reach, either natural of human-made ",2012-01-01T00:00:00Z,
"sim.eventType","other","other",2012-01-01T00:00:00Z,
"sim.eventType","otherNaturalDisturbance","category for damage to sampling areas due to all remaining natural disturbance events not included in other event types, particularly weather-related ",2012-01-01T00:00:00Z,
"sim.eventType","ownershipChange","change of legal ownership or lessor of any NEON permitted terrestrial and aquatic site ",2012-01-01T00:00:00Z,
"sim.eventType","plantAddition","intentional human introduction of plants to NEON sites or sampling locations ",2012-01-01T00:00:00Z,
"sim.eventType","plantReduction","physical removal of plants ",2012-01-01T00:00:00Z,
"sim.eventType","pollutant","unusual deposition of pollution from a point source ",2012-01-01T00:00:00Z,
"sim.eventType","populationSpike","unusual spike in activity of any organism (e.g., invertebrates, pathogens)",2012-01-01T00:00:00Z,
"sim.eventType","tillage","tilling of the soil for agricultural purposes",2012-01-01T00:00:00Z,
"sim.eventType","wildlifeDisturbance","wildlife-caused damage of NEON sampling areas or equipment ",2012-01-01T00:00:00Z,
"sim.eventType","iceOn","ice fully covering sampling locations and infrastructure",2012-01-01T00:00:00Z,
"sim.fireSeverity","noneOrNegligible","ash in plot, but not burned",2012-01-01T00:00:00Z,
"sim.fireSeverity","low","low burn severity fire",2012-01-01T00:00:00Z,
"sim.fireSeverity","medium","medium burn severity fire",2012-01-01T00:00:00Z,
"sim.fireSeverity","high","high burn severity fire",2012-01-01T00:00:00Z,
"sim.fireSeverity","unknown","unknown",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","addition-livePlants","planting of seedlings or live plants that physically protrude from the soil",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","addition-seeds","planting of seeds with no visible plant protruding from the soil",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","animalReduction-exclusion","exclusion of animals",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","animalReduction-huntTrapEtc","physical removal of animals by hunting, trapping, exclosure, etc.",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-fertilizer-inorganic","organic fertilizer applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-fertilizer-organic","inorganic fertilizer applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-fertilizer-unknown","unknown fertilizer applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-fireRetardant","fire retardant applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-pesticide-fungicide","fungicide applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-pesticide-herbicide","herbicide applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-pesticide-insecticide","insecticide applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","chemicalApplication-pesticide-rodenticide","rodenticide applied",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","deposition-atmospheric","unusual atmospheric deposition",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","deposition-spill","unusual deposition spill",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","fire-controlledBurn","intentional fire set as part of a management action",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","fire-wildfire","a fire that results from any cause other than a deliberate management action",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-construction-road-asphalt","new road construction, with asphalt as top layer, either poured or recycled",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-construction-road-dirt","evidence of a new road that bisects a plot, likely no new material addition but obvious vehicle disturbance of vegetation",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-construction-road-gravel","new road construction, with gravel base as top layer, either compacted or loose, material is foreign to the site",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-construction-structure","structure built within NEON site",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-other","other types of human disturbance not covered",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-soilDisruption","soil disruption not relating to tilling for agriculture such as digging a pit",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","humanDisturbance-vandalism","deliberate damage of NEON sampling areas or equipment",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","irrigation-drainage","intentional drainage of NEON sampling area",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","irrigation-flood","intentional flood irrigation of NEON sampling area",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","irrigation-sprinkler","intentional sprinkler irrigation of NEON sampling area",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-earthquake","damage due to earthquake activity",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-floodDamage","damage due to flooding",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-frostDamage","damage due to frost",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-iceDamage","damage due to ice",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-plotSaturated","saturation of NEON sampling area",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-windDamage","damage due to wind",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","naturalDisturbance-hurricaneDamage","damage due to hurricane",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","morphology-sedimentDepositionOrScouring","significant sediment deposition or scouring",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","morphology-tributaryConnectOrDisconnect","new connection or disconnection of channel tributary",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","morphology-LWD-depositionOrMovement","significant deposition or movement of large woody debris",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","morphology-lakeSegmentationOrAddition","sudden change in connectivity of lake water body",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","morphology-beaverDam","new construction or demolition of beaver dam altering flow regime",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","pollutant-acid","unusual deposition of acid pollution from a point source",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","pollutant-ash","no burning from fire, but deposition of ash observed",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","pollutant-hydrocarbon","unusual deposition of hydrocarbon from a point source",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-animal-invertebrate","unusual spike in activity of an invertebrate",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-animal-largeVertebrate","unusual spike in activity of a large invertebrate",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-animal-smallVertebrate","unusual spike in activity of a small invertebrate",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-firstInvasiveSighting","unusual spike in activity related to the initial sighting of an invasive species",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-fungus","unusual spike in activity of a fungus",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-other","unusual spike in activity of an organism not listed",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-pathogen","unusual spike in activity of a pathogen",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","populationSpike-plant","unusual spike in activity of a plant species",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","removal-clearCut","plant removal due to clear cutting",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","removal-cropHarvest","plant removal due to crop harvest",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","removal-mowing","plant removal due to mowing",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","removal-pruning","plant removal due to pruning",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","removal-thinning","plant removal due to thinning",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","tillage-conservation","method of soil tilling that leaves crop residue left behind after harvest on the field to reduce soil erosion and runoff",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","tillage-conventional","disking, plowing, and other methods of tilling that bury crop residue left behind after harvest",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","tillage-other","other methods of tilling not covered ",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","other","other types of events not covered",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","droughtPerceived","landscape-scale drought conditions reported in the region containing the site and causing marked impacts on data quality ",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","grazing","intentional human introduction of animals to NEON sites or sampling locations as livestock or to control vegetation ",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","obstruction","detritus left in plot or stream reach, either natural of human-made ",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","wildlifeDisturbance","wildlife-caused damage of NEON sampling areas or equipment ",2012-01-01T00:00:00Z,
"sim.methodTypeChoice","iceOn","ice fully covering sampling locations and infrastructure",2012-01-01T00:00:00Z,
"sim.otherScientificName","Alligator mississippiensis","scientific name for common alligator",2012-01-01T00:00:00Z,
"sim.otherScientificName","Bos bison","scientific name for bison",2012-01-01T00:00:00Z,
"sim.otherScientificName","Bos taurus","scientific name for cow",2012-01-01T00:00:00Z,
"sim.otherScientificName","Capra aegagrus hircus","scientific name for goat",2012-01-01T00:00:00Z,
"sim.otherScientificName","Castor canadensis","scientific name for beaver",2012-01-01T00:00:00Z,
"sim.otherScientificName","Chelydra serpentina","scientific name for the common snapping turtle",2012-01-01T00:00:00Z,
"sim.otherScientificName","Equus caballus","scientific name for horse",2012-01-01T00:00:00Z,
"sim.otherScientificName","Erethizon dorsatum","scientific name for common porcupine",2012-01-01T00:00:00Z,
