"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"sim_eventData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sim_eventData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sim_eventData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sim_eventData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sim_eventData","locationID","Identifier for location where sample was collected","string",NA,"basic","asIs","Y",""
"sim_eventData","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","Y",""
"sim_eventData","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"sim_eventData","ongoingEvent","Indicates if an event lasts longer than the one month. If Y, a new record for next month is expected","string",NA,"basic","LOV","N","Yes or No choice"
"sim_eventData","estimatedOrActualDate","Indicates if the event start and/or end dates are estimated or actual","string",NA,"basic","LOV","N","fsh.actualOrEstimated"
"sim_eventData","dateRemarks","Technician notes; free text comments to provide additional information about the start and/or end dates","string",NA,"basic","asIs","N",""
"sim_eventData","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",""
"sim_eventData","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sim.samplingProtocolVersion"
"sim_eventData","eventType","Classification of information associated with the event type","string",NA,"basic","LOV","N","sim.eventType"
"sim_eventData","methodTypeChoice","Category information for the method or type choice associated with the event type","string",NA,"basic","LOV","N","sim.methodTypeChoice"
"sim_eventData","name","Person name or common name associated with an ownership change or chemical application event type","string",NA,"basic","asIs","N",""
"sim_eventData","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","asIs","N",""
"sim_eventData","otherScientificName","Other scientific name, not included in the NEON constrained taxon tables. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","LOV","N","sim.otherScientificName"
"sim_eventData","fireSeverity","Fire severity classification","string",NA,"basic","LOV","N","sim.fireSeverity"
"sim_eventData","biomassRemoval","Indicates whether or not biomass was removed for plant reduction","string",NA,"basic","LOV","N","sim.biomassRemoval"
"sim_eventData","minQuantity","The minimum quantity of the event measured","real",NA,"basic","*.##(round)","N",""
"sim_eventData","maxQuantity","The maximum quantity of the event measured","real",NA,"basic","*.##(round)","N",""
"sim_eventData","quantityUnit","The unit that corresponds to the quantity measurement","string",NA,"basic","LOV","N","sim.quantityUnit"
"sim_eventData","reporterType","Indicates source of observation reporting; 'primary' for NEON team member observed and 'secondary' for non-NEON individuals observed","string",NA,"basic","LOV","N","sim.reporterType"
"sim_eventData","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"sim_eventData","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",""
"sim_eventData","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"sim_eventData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sim_eventData","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
