"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF","publicationDate","Date","dayMax"
"D02","SCBI","000","010",2018-01-01 00:00:00,2018-01-01 00:30:00,-11.8191,-12.053,-11.3982,0.0208,1800,0.0187,0.0034,0,"20190912T222914Z",2018-01-01,-11.8191
"D02","SCBI","000","010",2018-01-02 00:00:00,2018-01-02 00:30:00,-11.1742,-11.6439,-10.692,0.0587,1800,0.0209,0.0057,0,"20190912T222914Z",2018-01-02,-11.1742
"D02","SCBI","000","010",2018-01-03 00:00:00,2018-01-03 00:30:00,-8.2024,-8.5917,-7.6861,0.0516,1800,0.0206,0.0054,0,"20190912T222914Z",2018-01-03,-8.2024
"D02","SCBI","000","010",2018-01-04 00:00:00,2018-01-04 00:30:00,-4.1275,-4.3047,-3.8792,0.0149,1800,0.0187,0.0029,0,"20190912T222914Z",2018-01-04,-4.1275
"D02","SCBI","000","010",2018-01-05 00:00:00,2018-01-05 00:30:00,-10.9784,-11.3482,-10.6846,0.0158,1800,0.0184,0.003,0,"20190912T222914Z",2018-01-05,-10.9784
"D02","SCBI","000","010",2018-01-06 00:00:00,2018-01-06 00:30:00,-11.9101,-12.1674,-11.7201,0.009,1800,0.018,0.0022,0,"20190912T222914Z",2018-01-06,-11.9101
"D02","SCBI","000","010",2018-01-07 00:00:00,2018-01-07 00:30:00,-13.1845,-13.615,-12.6407,0.0478,1800,0.0202,0.0052,0,"20190912T222914Z",2018-01-07,-13.1845
"D02","SCBI","000","010",2018-01-08 00:00:00,2018-01-08 00:30:00,-7.1292,-7.3711,-6.8248,0.0268,1800,0.0193,0.0039,0,"20190912T222914Z",2018-01-08,-7.1292
"D02","SCBI","000","010",2018-01-09 00:00:00,2018-01-09 00:30:00,0.5857,-0.0402,1.0905,0.1401,1800,0.0252,0.0088,0,"20190912T222914Z",2018-01-09,0.5857
"D02","SCBI","000","010",2018-01-10 00:00:00,2018-01-10 00:30:00,2.4802,1.8797,2.8521,0.0318,1800,0.02,0.0042,0,"20190912T222914Z",2018-01-10,2.4802
"D02","SCBI","000","010",2018-01-11 00:00:00,2018-01-11 00:30:00,4.0688,3.7231,4.3895,0.0337,1800,0.0202,0.0043,0,"20190912T222914Z",2018-01-11,4.0688
"D02","SCBI","000","010",2018-01-12 00:00:00,2018-01-12 00:30:00,10.9418,10.5493,11.1641,0.0135,1800,0.0194,0.0027,0,"20190912T222914Z",2018-01-12,10.9418
"D02","SCBI","000","010",2018-01-13 00:00:00,2018-01-13 00:30:00,16.0422,15.6155,16.3244,0.0182,1800,0.0199,0.0032,0,"20190912T222914Z",2018-01-13,16.0422
"D02","SCBI","000","010",2018-01-14 00:00:00,2018-01-14 00:30:00,-7.3126,-7.4683,-6.9973,0.0115,1800,0.0184,0.0025,0,"20190912T222914Z",2018-01-14,-7.3126
"D02","SCBI","000","010",2018-01-15 00:00:00,2018-01-15 00:30:00,-9.8544,-10.115,-9.5946,0.0122,1800,0.0183,0.0026,0,"20190912T222914Z",2018-01-15,-9.8544
"D02","SCBI","000","010",2018-01-16 00:00:00,2018-01-16 00:30:00,-4.9522,-5.4186,-4.4628,0.065,1800,0.0215,0.006,0,"20190912T222914Z",2018-01-16,-4.9522
"D02","SCBI","000","010",2018-01-17 00:00:00,2018-01-17 00:30:00,-0.3909,-0.4347,-0.3453,2e-04,1800,0.018,4e-04,0,"20190912T222914Z",2018-01-17,-0.3909
"D02","SCBI","000","010",2018-01-18 00:00:00,2018-01-18 00:30:00,-8.5068,-8.788,-8.2428,0.02,1800,0.0188,0.0033,0,"20190912T222914Z",2018-01-18,-8.5068
"D02","SCBI","000","010",2018-01-19 00:00:00,2018-01-19 00:30:00,1.2309,0.2847,2.3852,0.237,1800,0.0292,0.0115,0,"20190912T222914Z",2018-01-19,1.2309
"D02","SCBI","000","010",2018-01-20 00:00:00,2018-01-20 00:30:00,2.4526,1.8498,3.239,0.1,1800,0.0235,0.0075,0,"20190912T222914Z",2018-01-20,2.4526
"D02","SCBI","000","010",2018-01-21 00:00:00,2018-01-21 00:30:00,7.3648,6.2868,8.6799,0.2071,1800,0.0283,0.0107,0,"20190912T222914Z",2018-01-21,7.3648
"D02","SCBI","000","010",2018-01-22 00:00:00,2018-01-22 00:30:00,11.7694,10.75,13.154,0.3386,1800,0.0332,0.0137,0,"20190912T222914Z",2018-01-22,11.7694
"D02","SCBI","000","010",2018-01-23 00:00:00,2018-01-23 00:30:00,13.1392,12.6089,13.6151,0.0519,1800,0.0216,0.0054,0,"20190912T222914Z",2018-01-23,13.1392
"D02","SCBI","000","010",2018-01-24 00:00:00,2018-01-24 00:30:00,5.4256,4.857,6.4013,0.1475,1800,0.0258,0.0091,0,"20190912T222914Z",2018-01-24,5.4256
"D02","SCBI","000","010",2018-01-25 00:00:00,2018-01-25 00:30:00,0.0367,-0.2513,0.3058,0.0166,1800,0.019,0.003,0,"20190912T222914Z",2018-01-25,0.0367
"D02","SCBI","000","010",2018-01-26 00:00:00,2018-01-26 00:30:00,-2.8307,-3.2627,-2.3985,0.0419,1800,0.0203,0.0048,0,"20190912T222914Z",2018-01-26,-2.8307
"D02","SCBI","000","010",2018-01-27 00:00:00,2018-01-27 00:30:00,4.7868,3.8088,5.593,0.1665,1800,0.0265,0.0096,0,"20190912T222914Z",2018-01-27,4.7868
"D02","SCBI","000","010",2018-01-28 00:00:00,2018-01-28 00:30:00,11.2718,10.9093,11.6668,0.0298,1800,0.0203,0.0041,0,"20190912T222914Z",2018-01-28,11.2718
"D02","SCBI","000","010",2018-01-29 00:00:00,2018-01-29 00:30:00,6.4642,6.4184,6.5601,0.0012,1800,0.0184,8e-04,0,"20190912T222914Z",2018-01-29,6.4642
"D02","SCBI","000","010",2018-01-30 00:00:00,2018-01-30 00:30:00,2.1364,1.3155,2.5121,0.093,1800,0.0231,0.0072,0,"20190912T222914Z",2018-01-30,2.1364
"D02","SCBI","000","010",2018-02-05 19:00:00,2018-02-05 19:30:00,0.9905,0.1486,1.9314,0.1696,1800,0.0265,0.0097,0,"20190912T232545Z",2018-02-05,0.9905
"D02","SCBI","000","010",2018-02-06 00:00:00,2018-02-06 00:30:00,-1.9933,-2.3887,-1.6033,0.0396,1800,0.0202,0.0047,0,"20190912T232545Z",2018-02-06,-1.9933
