startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2018-03-01T00:00:00Z","2018-03-01T00:30:00Z",11.8824,11.7287,12.0155,0.0083,1800.0000,0.0191,0.0021,0
"2018-03-01T00:30:00Z","2018-03-01T01:00:00Z",11.7798,11.6853,11.9911,0.0066,1800.0000,0.0190,0.0019,0
"2018-03-01T01:00:00Z","2018-03-01T01:30:00Z",12.0217,11.7922,12.2640,0.0077,1800.0000,0.0191,0.0021,0
"2018-03-01T01:30:00Z","2018-03-01T02:00:00Z",12.1327,12.0223,12.3062,0.0063,1800.0000,0.0190,0.0019,0
"2018-03-01T02:00:00Z","2018-03-01T02:30:00Z",12.0580,11.2545,12.6307,0.1644,1800.0000,0.0267,0.0096,0
"2018-03-01T02:30:00Z","2018-03-01T03:00:00Z",12.1422,11.7348,12.5330,0.0609,1800.0000,0.0220,0.0058,0
"2018-03-01T03:00:00Z","2018-03-01T03:30:00Z",12.6609,12.3400,13.0111,0.0334,1800.0000,0.0206,0.0043,0
"2018-03-01T03:30:00Z","2018-03-01T04:00:00Z",13.1104,12.8371,13.4013,0.0250,1800.0000,0.0201,0.0037,0
"2018-03-01T04:00:00Z","2018-03-01T04:30:00Z",13.3973,13.2826,13.4570,0.0012,1800.0000,0.0188,0.0008,0
"2018-03-01T04:30:00Z","2018-03-01T05:00:00Z",13.2142,13.1097,13.2867,0.0018,1800.0000,0.0188,0.0010,0
"2018-03-01T05:00:00Z","2018-03-01T05:30:00Z",13.2792,13.0871,13.3928,0.0081,1800.0000,0.0192,0.0021,0
"2018-03-01T05:30:00Z","2018-03-01T06:00:00Z",13.0719,12.9618,13.2776,0.0066,1800.0000,0.0191,0.0019,0
"2018-03-01T06:00:00Z","2018-03-01T06:30:00Z",12.9891,12.7567,13.1029,0.0060,1800.0000,0.0190,0.0018,0
"2018-03-01T06:30:00Z","2018-03-01T07:00:00Z",12.5792,12.2712,12.7575,0.0131,1800.0000,0.0194,0.0027,0
"2018-03-01T07:00:00Z","2018-03-01T07:30:00Z",12.2827,12.0498,12.3837,0.0038,1800.0000,0.0189,0.0015,0
"2018-03-01T07:30:00Z","2018-03-01T08:00:00Z",11.5526,10.9080,12.1282,0.2183,1800.0000,0.0288,0.0110,0
"2018-03-01T08:00:00Z","2018-03-01T08:30:00Z",10.6567,10.4102,10.9077,0.0253,1800.0000,0.0200,0.0037,0
"2018-03-01T08:30:00Z","2018-03-01T09:00:00Z",10.8670,10.3826,11.2631,0.1229,1800.0000,0.0249,0.0083,0
"2018-03-01T09:00:00Z","2018-03-01T09:30:00Z",11.2876,11.1091,11.5436,0.0225,1800.0000,0.0199,0.0035,0
"2018-03-01T09:30:00Z","2018-03-01T10:00:00Z",11.5938,11.0935,11.8802,0.0383,1800.0000,0.0208,0.0046,0
"2018-03-01T10:00:00Z","2018-03-01T10:30:00Z",11.1340,10.6902,11.6891,0.0925,1800.0000,0.0235,0.0072,0
"2018-03-01T10:30:00Z","2018-03-01T11:00:00Z",10.7940,10.6125,11.0541,0.0265,1800.0000,0.0201,0.0038,0
"2018-03-01T11:00:00Z","2018-03-01T11:30:00Z",11.0115,10.5879,11.5597,0.0914,1800.0000,0.0234,0.0071,0
"2018-03-01T11:30:00Z","2018-03-01T12:00:00Z",11.5066,11.3458,11.8328,0.0164,1800.0000,0.0196,0.0030,0
"2018-03-01T12:00:00Z","2018-03-01T12:30:00Z",12.0430,11.8344,12.3084,0.0095,1800.0000,0.0192,0.0023,0
"2018-03-01T12:30:00Z","2018-03-01T13:00:00Z",12.2727,11.8958,12.4690,0.0293,1800.0000,0.0203,0.0040,0
"2018-03-01T13:00:00Z","2018-03-01T13:30:00Z",11.8873,11.7121,12.0591,0.0078,1800.0000,0.0191,0.0021,0
"2018-03-01T13:30:00Z","2018-03-01T14:00:00Z",12.2319,12.0590,12.5431,0.0142,1800.0000,0.0195,0.0028,0
"2018-03-01T14:00:00Z","2018-03-01T14:30:00Z",12.0817,11.7737,12.5554,0.0839,1800.0000,0.0231,0.0068,0
