name,pubCode,description,startDate,endDate
"Identification Qualifiers","cf. species","roughly equals but 'not sure' about the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. species","similar to but is not the species",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. genus","roughly equals but 'not sure' about the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. genus","similar to but is not the genus",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. subspecies","roughly equals but 'not sure' about the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. subspecies","similar to but is not the subspecies",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. family","roughly equals but 'not sure' about the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. family","similar to but is not the family",2012-01-01T00:00:00Z,
"Identification Qualifiers","cf. variety","roughly equals but 'not sure' about the variety",2012-01-01T00:00:00Z,
"Identification Qualifiers","aff. variety","similar to but is not the variety",2012-01-01T00:00:00Z,
"phe.canopyPosition","Open grown","Full sun, not touching other plants, with crowns that have received full light from above and from all sides throughout most of its life, particularly during its early developmental period",2012-01-01T00:00:00Z,
"phe.canopyPosition","Full sun","Crown receiving full light from above and partly from the sides. Their crown form or shape appears to be free of influence from neighboring plants",2012-01-01T00:00:00Z,2017-06-01T00:00:00Z
"phe.canopyPosition","Full sun","Crown receiving full light from above and partly from the sides. Their crown form or shape appears to be free of influence from neighboring plants",2012-01-01T00:00:00Z,
"phe.canopyPosition","Partially shaded","Crown receive full light from above but little direct sunlight penetrates their sides",2012-01-01T00:00:00Z,
"phe.canopyPosition","Partially shaded","Crown receive full light from above but little direct sunlight penetrates their sides",2012-01-01T00:00:00Z,2017-06-01T00:00:00Z
"phe.canopyPosition","Mostly shaded","Individuals that receive little direct light from above and none from the sides",2012-01-01T00:00:00Z,
"phe.canopyPosition","Mostly shaded","Individuals that receive little direct light from above and none from the sides",2012-01-01T00:00:00Z,2017-06-01T00:00:00Z
