uid,namedLocation,domainID,siteID,plotID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,subtypeSpecification,transectMeter,directionFromTransect,ninetyDegreeDistance,sampleLatitude,sampleLongitude,sampleGeodeticDatum,sampleCoordinateUncertainty,sampleElevation,sampleElevationUncertainty,date,editedDate,individualID,taxonID,scientificName,identificationQualifier,taxonRank,growthForm,vstTag,samplingProtocolVersion,measuredBy,identifiedBy,recordedBy,remarks,dataQF,publicationDate,release
59f45c6e-1ddb-42c6-b419-27bc3fd3def2,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,498,Right,2,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06288,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
85415414-5db1-4ef7-b66b-e8e2081135fa,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,504,Right,0.5,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06287,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
aeb0a386-046d-4bcf-a1fe-76b4fbf44db0,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,506,Right,1,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06286,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
611c26b9-ab3d-4940-bf22-bfab2277801b,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484,Right,0.5,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06295,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
5a157551-776c-40bd-91ac-1260448ba3b1,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06291,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
fc390660-65c4-4143-acb6-2406dc971f2d,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,476,Left,2,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06300,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
ae7e2159-3d30-4580-93e8-822db42a9321,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,491,Left,0.5,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06290,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
45585196-0426-4c11-8616-80fea02ad507,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,469,Left,2,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06297,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
090aa69d-0fa0-44da-b320-055246a32df5,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,497,Left,1,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06289,RHDA,Rhamnus davurica Pall.,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
82d35403-c223-44d0-a097-c6d6759df3c6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,39.059627,-78.073846,,,183,,primary,484,Right,2,,,WGS84,,,,2015-06-25,2015-07-22,NEON.PLA.D02.BLAN.06299,LOMA6,Lonicera maackii (Rupr.) Herder,"",species,Deciduous broadleaf,,"",jcoloso@neoninc.org,shackley@neoninc.org,shackley@neoninc.org,"",,20200511T151500Z,undetermined
