uid,namedLocation,domainID,siteID,plotID,date,editedDate,individualID,patchOrIndividual,canopyPosition,plantStatus,stemDiameter,measurementHeight,maxCanopyDiameter,ninetyCanopyDiameter,patchSize,percentCover,height,diseaseType,samplingProtocolVersion,measuredBy,recordedBy,remarks,dataQF,publicationDate,release
d816ce31-204f-42fa-9b5e-803d3eecf7ab,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2017-10-27,NEON.PLA.D02.BLAN.06160,Patch,Full sun,Live,,,,,0.063,40,1.1,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
e5a0b013-e5d0-4e24-a0ad-d86668b0eb09,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06509,Patch,Full sun,Live,,,,,0.063,70,1,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
028a125b-f538-43ae-98c7-454a8c7646ab,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06699,Patch,Full sun,Live,,,,,0.063,60,1.2,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
57e264c6-f944-4e25-93e6-c75864340653,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06698,Patch,Full sun,Live,,,,,0.063,70,1.5,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
2ecb44ce-1956-41fa-89b9-9d25b858f1a5,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06697,Patch,Open grown,Live,,,,,0.063,70,1.2,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
fab98d25-bf03-45e4-bffb-0550049ff959,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06694,Patch,Full sun,Live,,,,,0.063,0.4,1.2,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
58ed2a95-8768-4310-80fb-18de4278fe2d,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06695,Patch,Partially shaded,Live,,,,,0.063,60,0.7,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
8d92c82a-692a-4011-b760-8c9c11b8ebb2,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06684,Patch,Open grown,Live,,,,,0.063,50,1.1,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
374c7e48-3df0-4c4b-97b1-b95babe6c3c6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06688,Patch,Open grown,Live,,,,,0.063,80,0.9,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
823d7a6f-5583-4614-b270-5aea5ea2c52b,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06686,Patch,Full sun,Live,,,,,0.063,80,1.2,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
e3852cf5-1b2c-449d-892a-8e067374377e,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06691,Patch,Full sun,Live,,,,,0.063,0.8,1,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
279ea8c9-915e-4567-bb8f-3bd0cf3235c6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06687,Patch,Open grown,"Live, insect damaged",,,,,0.063,80,0.9,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,Galls present,,20200511T142330Z,undetermined
a6af32ef-8db3-41da-a26e-cd872c47db13,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06690,Patch,Partially shaded,Live,,,,,0.063,30,1.5,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
deda5436-4a76-4c9c-8f3b-4145b265fc20,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06689,Patch,Full sun,Live,,,,,0.063,60,1.5,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
662e8a44-98eb-46af-86d5-92ed63ba7ff6,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06514,Patch,Full sun,Live,,,,,0.063,70,1.3,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
cbc142d9-04d1-47f4-8531-5f40006e228c,BLAN_061.phenology.phe,D02,BLAN,BLAN_061,2017-09-21,2016-09-21,NEON.PLA.D02.BLAN.06685,Patch,Open grown,Live,,,,,0.063,70,1.1,,NEON.DOC.014040vH,alandes@field-ops.org,jporta@BattelleEcology.org,"",,20200511T142330Z,undetermined
